epoch,accuracy,loss,val_accuracy,val_loss
0,0.06515367329120636,4.915493488311768,0.21474967896938324,4.175000190734863
1,0.23978662490844727,3.931558609008789,0.43572163581848145,2.9074490070343018
2,0.3670082092285156,3.1756300926208496,0.5384005904197693,2.325981378555298
3,0.44849076867103577,2.7362523078918457,0.6004200577735901,1.9928035736083984
4,0.5011223554611206,2.458400249481201,0.634025514125824,1.8129924535751343
5,0.5415137410163879,2.251461982727051,0.6650550961494446,1.6575548648834229
6,0.5723717212677002,2.0901596546173096,0.6793215274810791,1.571181058883667
7,0.5973538756370544,1.9651985168457031,0.7009986639022827,1.4789613485336304
8,0.6196292042732239,1.8493143320083618,0.7009193897247314,1.447149395942688
9,0.6372567415237427,1.7516826391220093,0.7222002148628235,1.3515957593917847
10,0.6538674831390381,1.6707444190979004,0.7305619120597839,1.3054388761520386
11,0.6677185893058777,1.5899319648742676,0.7373384833335876,1.2666807174682617
12,0.6808038949966431,1.5236945152282715,0.7379329204559326,1.245841145515442
13,0.6917632818222046,1.463832974433899,0.7426092028617859,1.224289894104004
14,0.7044128179550171,1.4057217836380005,0.7412221431732178,1.2177437543869019
